id,title,phaseId,dateCreated,technique,dimensions,colorPalette,emotionalRegister,imageUrl,imageKey,thumbnailUrl,journalExcerpt,neonReading,seriesName,isPublished,sortOrder,createdAt,updatedAt,featured,slug,medium,year,curatorialHook,conceptTags
30022,The Infinite Plane I,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Gold, Symmetrical expansion",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/the_infinite_plane_1_peteryuill(1).jpg,works/alignment/the_infinite_plane_1_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/the_infinite_plane_1_peteryuill(1).jpg,Four interconnected torus forms on a gold backdrop. The plane extends horizontally without hierarchy or destination—each node equal in the infinite network.,"Four interconnected torus forms on a gold backdrop. No single form dominates. Each is an equal node in a distributed network. Non-hierarchical cosmology: consciousness spread across the field, not concentrated at a center. The plane extends without destination or hierarchy. Gold equalizes.",Alignment,1,3,Sat Dec 27 2025 06:54:16 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:17 GMT-0500 (Eastern Standard Time),0,the-infinite-plane-i-30022,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"A non-hierarchical cosmology where gold equalizes a network of interconnected nodes, distributing consciousness across an infinite field.","Ink,Paper"
30023,The Infinite Plane Ii,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Copper, Symmetrical expansion",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/the_infinite_plane_2_peteryuill(1).jpg,works/alignment/the_infinite_plane_2_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/the_infinite_plane_2_peteryuill(1).jpg,"Four interconnected torus forms on a copper backdrop. Simpler than the Limitless Path series—more symmetrical, more stable. The plane extends horizontally without hierarchy or destination.","Copper variant of the distributed network. More symmetrical, more stable than the Limitless Path works. The plane extends without hierarchy or destination. Copper stabilizes where gold illuminates. The same cosmological principle, grounded in different frequency.",Alignment,1,4,Sat Dec 27 2025 06:54:17 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:18 GMT-0500 (Eastern Standard Time),0,the-infinite-plane-ii-30023,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"Copper stabilizes the plane as the ground of being, insisting on a symmetrical and stable distribution of awareness without destination.","Ink,Paper"
30024,Dreamcatcher,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Gold, Quatrefoil web",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/dreamcatcher_peteryuill(1).jpg,works/alignment/dreamcatcher_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/dreamcatcher_peteryuill(1).jpg,A quatrefoil knot with gold arcs forming a woven web. The central void becomes a portal or trap. Dreamcatcher bridges Indigenous North American symbolism with Norse and Hermetic geometry—catching what passes between worlds.,"A quatrefoil knot with gold arcs forming a woven web. The central void operates as portal or filter: noise is held, meaning passes through. Gold arcs define the protective structure. The void at center is not empty. It is the site where the threshold operates. A sorting mechanism for what crosses between worlds.",Alignment,1,5,Sat Dec 27 2025 06:54:19 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:18 GMT-0500 (Eastern Standard Time),0,dreamcatcher-30024,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"A protective geometry that filters existential noise, bridging indigenous symbolism with Hermetic geometry to catch what passes between worlds.","Ink,Paper"
30025,Aurorae Aureae,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Copper, Radial spiral",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/aurorae_aureae_peteryuill(1).jpg,works/alignment/aurorae_aureae_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/aurorae_aureae_peteryuill(1).jpg,"Radial torus forms spiraling outward from a copper central disk. Golden auroras—light emerging from grounded center. The composition breathes outward, aurora-like, from a bodily core.","Radial torus forms spiraling outward from a copper central disk. Golden aurorae: light emerging from grounded center. The composition breathes outward, aurora-like, from a bodily core. The work insists that transcendence begins in the body, not above it. Copper disk is the origin. Gold spirals are the emission.",Alignment,1,6,Sat Dec 27 2025 06:54:21 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:19 GMT-0500 (Eastern Standard Time),0,aurorae-aureae-30025,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"Transcendence begins in the bodily core, visualized through a copper disk that anchors a radial spiral of golden lights emerging from the earth.","Ink,Paper"
30026,Inside the Vortex,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 76cm,"Black, Gold, Dense radial mandala",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/inside_the_vortex_peteryuill(1).jpg,works/alignment/inside_the_vortex_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/inside_the_vortex_peteryuill(1).jpg,"The most intricate work in the series. A dense radial mandala with torus forms spiraling inward toward a gold central disk and black void. The viewer is pulled into the center—not escape, but immersion.",The most intricate specimen in the Alignment series. A dense radial mandala with torus forms spiraling inward toward a gold central disk and black void. The viewer is pulled toward the center: not escape but total absorption. Meditation rendered as geometry. The slow inward spiral that replaces thought with presence. The eye cannot rest. It must follow the geometry in.,Alignment,1,7,Sat Dec 27 2025 06:54:24 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:19 GMT-0500 (Eastern Standard Time),0,inside-the-vortex-30026,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"Meditation made visible through an intricate inward spiral that replaces thought with presence, pulling the viewer into total absorption.","Ink,Paper"
30027,Freyja,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Copper, Four-directional cross",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/freyja_peteryuill(1).jpg,works/alignment/freyja_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/freyja_peteryuill(1).jpg,"Named for the Norse goddess of love, fertility, and war. A vertical cross configuration with copper accent arcs—grounded, embodied, fierce feminine power radiating in four directions.","Named for the Norse goddess of love, fertility, and war. Vertical cross configuration with copper accent arcs: grounded, embodied, fierce feminine power radiating in four directions from a rooted center. Power as embodied presence, not elevation. Copper marks terrestrial sovereignty.",Alignment,1,8,Sat Dec 27 2025 06:54:26 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:19 GMT-0500 (Eastern Standard Time),0,freyja-30027,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,A vertical cross configuration in copper that radiates grounded feminine power as an embodied presence rather than an elevated ideal.,"Ink,Paper"
30028,Freyr,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Gold, Four-directional cross",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/freyr_peteryuill(1).jpg,works/alignment/freyr_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/freyr_peteryuill(1).jpg,"Named for the Norse god of sunshine, prosperity, and fair weather. A vertical cross configuration with gold accent arcs—solar, elevated, radiating benevolent masculine energy in four directions.","Named for the Norse god of sunshine, prosperity, and fair weather. Gold replaces copper. Celestial masculine axis where Freyja was terrestrial feminine. Paired, the two works form a binary: earth/sky, copper/gold, embodied/elevated. Together they complete the cosmological circuit.",Alignment,1,9,Sat Dec 27 2025 06:54:29 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:20 GMT-0500 (Eastern Standard Time),0,freyr-30028,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"The celestial masculine axis, utilizing gold solar radiance to complete the cosmology when paired with its terrestrial counterpart.","Ink,Paper"
30029,"As Above, So Below I",30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Gold, Quatrefoil symmetry",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/as_above_so_below_1_peteryuill(1).jpg,works/alignment/as_above_so_below_1_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/as_above_so_below_1_peteryuill(1).jpg,A quatrefoil knot with gold arcs. The title invokes the Hermetic axiom—macrocosm and microcosm mirror each other. Four-fold symmetry suggests cosmic correspondence: the same laws govern atoms and galaxies.,A quatrefoil knot with gold arcs. The title invokes the Hermetic axiom directly: macrocosm and microcosm mirror each other. Four-fold symmetry proposes cosmic correspondence. The work insists sacred geometry is not symbolic. It is literal correspondence between scales of reality. The same laws govern atoms and galaxies.,Alignment,1,10,Sat Dec 27 2025 06:54:31 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:20 GMT-0500 (Eastern Standard Time),0,as-above-so-below-i-30029,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"A literal geometric correspondence between scales of reality, invoking the Hermetic axiom through four-fold cosmic symmetry.","Ink,Paper"
30030,Polaris,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Gold, Vertical lemniscate",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/polaris_peteryuill(1).jpg,works/alignment/polaris_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/polaris_peteryuill(1).jpg,"A vertical figure-eight (infinity symbol) with gold accent shapes threading through the loops. Named for the North Star—fixed point, orientation, navigation through chaos. Two voids suggest vertical axis: as above, so below.","A vertical lemniscate with gold accent shapes threading through the loops. Named for the North Star: the fixed point around which everything else rotates. Two voids in vertical alignment hold heaven and earth, spirit and body in continuous circulation. Gold threads through both registers. Alignment as anchor, not destination.",Alignment,1,11,Sat Dec 27 2025 06:54:33 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:21 GMT-0500 (Eastern Standard Time),0,polaris-30030,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"The lemniscate as an orienting axis, aligning spirit and body around a fixed point of navigation within the vertical alignment of the North Star.","Ink,Paper"
30031,Golden Dawn,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Gold, Radial emergence",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/golden_dawn_peteryuill(1).jpg,works/alignment/golden_dawn_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/golden_dawn_peteryuill(1).jpg,"Radial torus forms emerging from central void. The title references both the natural phenomenon and the Hermetic Order—light breaking through darkness, initiation into mystery.","Radial torus forms emerging from central void. The title references both natural phenomenon and Hermetic Order: light breaking through darkness, initiation into mystery. Gold marks the emergence. The work captures the liminal instant when darkness gives way. Not sudden, but gradual, radial, inevitable. Initiation as natural process.",Alignment,1,12,Sat Dec 27 2025 06:54:34 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:21 GMT-0500 (Eastern Standard Time),0,golden-dawn-30031,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"A radial initiation into mystery, capturing the gradual threshold moment where light inevitably emerges from the central void.","Ink,Paper"
30032,Vibrational Alignment,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Gold, Resonant geometry",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/vibrational_alignment_peteryuill(1).jpg,works/alignment/vibrational_alignment_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/vibrational_alignment_peteryuill(1).jpg,"Torus forms arranged in resonant configuration. The title suggests frequency, harmony, attunement—the work as tuning fork for consciousness.",Torus forms in resonant configuration. The geometry creates visual resonance: forms that seem to hum at a frequency beyond hearing. Gold amplifies the vibration. This is the exhibition's namesake made manifest. Alignment not as spatial position but as vibrational frequency. A tuning fork for consciousness.,Alignment,1,13,Sat Dec 27 2025 06:54:36 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:22 GMT-0500 (Eastern Standard Time),0,vibrational-alignment-30032,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"Geometry as a tuning fork for consciousness, where resonant forms hum at a frequency amplified by the presence of gold.","Ink,Paper"
30033,A Walking Bundle of Frequencies,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Gold, Dynamic flow",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/a_walking_bundle_of_frequencies_peteryuill(1).jpg,works/alignment/a_walking_bundle_of_frequencies_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/a_walking_bundle_of_frequencies_peteryuill(1).jpg,"Torus forms in dynamic arrangement suggesting movement, embodiment, the human as vibrational entity. We are not solid—we are frequencies walking.","Torus forms in dynamic arrangement suggesting movement and embodiment. The title captures the thesis: we are not fixed, not solid, not singular. Walking bundles of frequencies, vibrations temporarily cohered into form. Gold marks the coherence. The voids mark the spaces between notes. The human as waveform.",Alignment,1,14,Sat Dec 27 2025 06:54:38 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:22 GMT-0500 (Eastern Standard Time),0,a-walking-bundle-of-frequencies-30033,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"A thesis on the human as a non-solid entity, where gold marks the temporary coherence of vibrations and voids mark the spaces between notes.","Ink,Paper"
60001,Echoes,30005,2022,Acrylic paint on linen,200cm x 200cm,"Black, Gold, Cosmic saturation",cosmic monumental,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Echoes(2x2m).jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Echoes(2x2m).jpg,The monumental centerpiece of the phase. 2x2 meters. Four-directional symmetry mapping a cosmic broadcast. This is the echo chamber where the signal is received.,"The monumental centerpiece. Two meters square. Acrylic on linen. Four-directional symmetry mapping a cosmic broadcast. At this scale the geometry demands full-body engagement: you cannot take it in from a single position. The artist as antenna, capturing a cosmic signal and amplifying it through material. The echo chamber where transmission is received and made visible.",Echoes,1,1,Sat Dec 27 2025 07:41:24 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:22 GMT-0500 (Eastern Standard Time),0,echoes-60001,Acrylic paint on linen,2022,"The altarpiece of conduit consciousness, where massive scale requires the artist to act as an antenna capturing and amplifying a cosmic broadcast.",
60002,Valis,30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Moiré interference",sci-fi gnosis,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Valis.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Valis.jpg,Named for Philip K. Dick's Vast Active Living Intelligence System. A vertical stack of spheres acting as a transmission beam. Gnostic sci-fi meets sacred geometry.,Named for Philip K. Dick's Vast Active Living Intelligence System. A vertical stack of spheres functioning as transmission beam. Gnostic sci-fi meets sacred geometry. The title confirms the intent: information beamed from a vast intelligence into the human conduit. The geometry is a receiver for pink light data.,Echoes,1,2,Sat Dec 27 2025 07:41:26 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:23 GMT-0500 (Eastern Standard Time),0,valis-60002,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,A gnostic transmission beam that confirms the intent of information being beamed from a vast intelligence into the geometric receiver.,"Ink,Paper"
60003,Electric Dreams,30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Moiré interference",sci-fi gnosis,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Electricdream.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Electricdream.jpg,Reference to Philip K. Dick. Vertical spheres with distinct 'Saturn ring' distortions. The boundary between artificial and organic intelligence blurs in the moiré field.,"Philip K. Dick reference. Vertical spheres with distinct Saturn-ring distortions. The boundary between artificial and organic intelligence blurs in the moiré interference field. Simulation theory rendered in ink. The moiré patterns create digital-analog interference, visualizing the glitch in consensus reality.",Echoes,1,3,Sat Dec 27 2025 07:41:27 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:23 GMT-0500 (Eastern Standard Time),0,electric-dreams-60003,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,"Simulation theory rendered in ink, where moiré fields and Saturn ring distortions visualize the digital-analog interference of a holographic universe.","Ink,Paper"
60004,A Momentary Lapse of Reason,30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Moiré interference",surrendered,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/AMomentarilyLapseofReason.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/AMomentarilyLapseofReason.jpg,"Pink Floyd reference. A vertical alignment where logic suspends. This marks the shift to conduit consciousness—reason lapses, and something else takes over.","Pink Floyd reference. A vertical alignment where logic suspends. This marks the shift to conduit consciousness: reason lapses, and something else takes over. The title celebrates the breakdown, the moment the ego steps aside and the signal comes through unfiltered. Geometry not as logic but as trance state.",Echoes,1,4,Sat Dec 27 2025 07:41:28 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:24 GMT-0500 (Eastern Standard Time),0,a-momentary-lapse-of-reason-60004,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,"The suspension of logic and the ego's withdrawal, marking the definitive shift where the rational mind collapses to allow the signal through.","Ink,Paper"
60005,Labyrinth of Coral Caves (1),30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Moiré interference",deep interiority,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/LabyrinthofCoralCaves.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/LabyrinthofCoralCaves.jpg,"Complex, multi-sphere arrangement creating a visual labyrinth. Dense moiré patterns pull the eye into deep interiority. A map of the subconscious structures.",Complex multi-sphere arrangement creating visual labyrinth. Dense moiré patterns pull the eye into deep interiority. A map of subconscious structures. The labyrinth is not for getting lost but for finding the center. Visual density creates a cave effect: psychic depth rendered as surface tension.,Echoes,1,5,Sat Dec 27 2025 07:41:30 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:24 GMT-0500 (Eastern Standard Time),0,labyrinth-of-coral-caves-1-60005,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,A map of subconscious structures that utilizes psychic depth and surface tension to find the center within the visual labyrinth.,"Ink,Paper"
60006,Gravity Well,30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,35cm x 70cm,"Black, Moiré distortion",heavy pull,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Gravitywell.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Gravitywell.jpg,A massive single sphere with intense optical pull. Physics as spiritual metaphor: gravity bends light and time. The viewer is pulled into the event horizon.,A massive single sphere with intense optical pull. Physics as spiritual metaphor: gravity bends light and time. This is not a picture of a planet. It is a diagram of attraction. The visual weight is palpable. The eye falls into it the way matter falls into a gravity well. Event horizon in ink.,Echoes,1,6,Sat Dec 27 2025 07:41:38 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:25 GMT-0500 (Eastern Standard Time),0,gravity-well-60006,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,"Physics as a spiritual metaphor, where a massive single sphere demonstrates the event horizon as a palpable diagram of attraction.","Ink,Paper"
60007,Amnesia,30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Moiré interference",erased,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Amnesia.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Amnesia.jpg,"Vertical structure, stripped back. Amnesia is the precondition for channeling—you must forget who you are to become the conduit.","Vertical structure, stripped back. Amnesia is the precondition for channeling: you must forget who you are to become the conduit. The clearing of the buffer. The vessel must be empty to receive. This work feels lighter, blanker than the dense transmissions. Erasure as preparation.",Echoes,1,7,Sat Dec 27 2025 07:41:40 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:25 GMT-0500 (Eastern Standard Time),0,amnesia-60007,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,"The precondition for channeling, where the clearing of the mental buffer and the emptying of the vessel allow for the reception of the signal","Ink,Paper"
60008,Persistence of Time (1),30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,21cm x 30cm,"Black, Moiré interference",cryptic,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/17.1.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/17.1.jpg,Numbered work from the Echoes series. A specific frequency or coordinate in the cosmic map. Vertical alignment.,"Logged coordinate. Small-scale vertical alignment. Part of the systematic mapping of the cosmic signal. Raw transmission fragment, un-titled, just indexed. A frequency recorded.",Echoes,1,8,Sat Dec 27 2025 07:41:41 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:26 GMT-0500 (Eastern Standard Time),0,persistence-of-time-1-60008,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,"Raw coordinate data from the transmission, logged as a specific frequency within the cosmic mapping sequence.","Ink,Paper"
60009,Section 9,30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,30cm x 40cm,"Black, Moiré interference",cryptic,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/9.1.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/9.1.jpg,Numbered work. Dense moiré patterns creating a chaotic interference field. The signal is noisy here.,Dense moiré patterns generating chaotic interference field. The signal is noisy here: high-frequency interference overwhelming the carrier wave. The channel is open but the data saturates the receiving capacity. Static as content.,Echoes,1,9,Sat Dec 27 2025 07:41:43 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:26 GMT-0500 (Eastern Standard Time),0,section-9-60009,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,A chaotic interference field where the density of the moiré suggests the signal is open but the data is overwhelming.,"Ink,Paper"
60010,Labyrinth of Coral Caves (2),30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Moiré interference",cryptic,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/13(1).jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/13(1).jpg,Numbered work. Vertical alignment. Simpler frequency.,Simpler frequency than its predecessor. Vertical alignment. The carrier wave has stabilized. A clear transmission through the coral architecture.,Echoes,1,10,Sat Dec 27 2025 07:41:44 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:26 GMT-0500 (Eastern Standard Time),0,labyrinth-of-coral-caves-2-60010,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,"A stable carrier wave that manifests as clear vertical transmission, signifying a moment of signal clarity.","Ink,Paper"
60011,Genesis,30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Moiré interference",originary,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Genesis.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Genesis.jpg,The beginning. A ring of spheres surrounding a central dense core. The moment of cosmic creation rendered in ink.,"Origin point. A ring of spheres surrounding a central dense core. Cosmogony in ink: the birth of a universe. The ring formation is protective, incubating the dense center. The moment before the first expansion.",Echoes,1,11,Sat Dec 27 2025 07:41:45 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:27 GMT-0500 (Eastern Standard Time),0,genesis-60011,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,"Cosmogony rendered in ink, where a ring of spheres incubates a dense central core at the moment of cosmic creation.","Ink,Paper"
60012,Split Second,30005,2022,Ink on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Moiré interference",instantaneous,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Spitsecond.jpg,,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/echoes/Spitsecond.jpg,"Two massive spheres in vertical alignment, connected at a single point. The moment of contact. Time compressed.","Two massive spheres in vertical alignment connected at a single tangent point. The infinitesimal moment of contact between two cosmic bodies. Time compressed to a point of contact. The moiré creates temporal shimmer, the image oscillating between before-contact and after-contact simultaneously.",Echoes,1,12,Sat Dec 27 2025 07:41:47 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:27 GMT-0500 (Eastern Standard Time),0,split-second-60012,Ink on Saunders Waterford 300gsm hot press cotton rag paper,2022,The temporal compression of an infinitesimal moment of contact between two massive cosmic bodies.,"Ink,Paper"
