ID,Title,Phase,Field,Old Value,New Value
210037,Residual (Broken Loop),PH4,dimensions,Variable (large format),Variable dimensions
210037,Residual (Broken Loop),PH4,technique,Ink wash,Inks on Anhui rice paper
210037,Residual (Broken Loop),PH4,title,Residual (Broken Loop),Residual (broken Loop)
210038,Residual (Horizontal Mass),PH4,dimensions,Variable (large format),Variable dimensions
210038,Residual (Horizontal Mass),PH4,technique,Ink wash,Inks on Anhui rice paper
210038,Residual (Horizontal Mass),PH4,title,Residual (Horizontal Mass),Residual (horizontal Mass)
210039,Study (Cellular Wash),PH4,dimensions,Variable (large format),Variable dimensions
210039,Study (Cellular Wash),PH4,technique,Ink wash,Inks on Anhui rice paper
210039,Study (Cellular Wash),PH4,title,Study (Cellular Wash),Study (cellular Wash)
210040,Study (Soft Ring),PH4,dimensions,Variable (large format),Variable dimensions
210040,Study (Soft Ring),PH4,technique,Ink wash,Inks on Anhui rice paper
210040,Study (Soft Ring),PH4,title,Study (Soft Ring),Study (soft Ring)
210041,Study (Dense Core),PH4,dimensions,Variable (large format),Variable dimensions
210041,Study (Dense Core),PH4,technique,Ink wash,Inks on Anhui rice paper
210041,Study (Dense Core),PH4,title,Study (Dense Core),Study (dense Core)
210042,Vietnam Horizon (Bar 01),PH4,dimensions,Variable (large format),Variable dimensions
210042,Vietnam Horizon (Bar 01),PH4,technique,Ink wash,Inks on Anhui rice paper
210042,Vietnam Horizon (Bar 01),PH4,title,Vietnam Horizon (Bar 01),Vietnam Horizon (bar 01)
210043,Vietnam Horizon (Bar 02),PH4,dimensions,Variable (large format),Variable dimensions
210043,Vietnam Horizon (Bar 02),PH4,technique,Ink wash,Inks on Anhui rice paper
210043,Vietnam Horizon (Bar 02),PH4,title,Vietnam Horizon (Bar 02),Vietnam Horizon (bar 02)
210044,Horizon (Intersected),PH4,dimensions,Variable (large format),Variable dimensions
210044,Horizon (Intersected),PH4,technique,Ink wash,Inks on Anhui rice paper
210044,Horizon (Intersected),PH4,title,Horizon (Intersected),Horizon (intersected)
210045,Study (Wash Fragment),PH4,dimensions,Variable (large format),Variable dimensions
210045,Study (Wash Fragment),PH4,technique,Ink wash,Inks on Anhui rice paper
210045,Study (Wash Fragment),PH4,title,Study (Wash Fragment),Study (wash Fragment)
210046,Vietnam Horizon (Bar 03),PH4,dimensions,Variable (large format),Variable dimensions
210046,Vietnam Horizon (Bar 03),PH4,technique,Ink wash,Inks on Anhui rice paper
210046,Vietnam Horizon (Bar 03),PH4,title,Vietnam Horizon (Bar 03),Vietnam Horizon (bar 03)
240002,Tidal,NE,dimensions,300cm x 1000cm,300cm × 1000cm
240002,Tidal,NE,technique,Acrylic and spray paint on linen,Sumi ink on Chinese mulberry paper
270001,Carbon Mural,NE,dimensions,600cm x 180cm,600cm × 180cm
270001,Carbon Mural,NE,technique,"High-flow acrylic / spray on sealed panel, backlit diffusion mount",Sumi ink on Chinese mulberry paper
